active_sport,hours_outside,likes_active_leisure,likes_passive_leisure,travels_often,is_extrovert,is_introvert,lives_in_house,lives_in_apartment,park_nearby,has_children,wants_to_love,wants_to_be_loved,monthly_pet_spending,comfortable_noise_level_db,weekly_cleaning_sessions,pet_preference
0,11,0,1,1,0,1,0,1,1,0,1,1,3329,21,7,cat
0,9,0,1,1,0,1,0,1,1,1,1,1,1924,37,6,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,7209,72,2,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,9065,68,2,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,10156,79,1,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8836,65,1,dog
0,9,0,1,1,0,1,0,1,0,0,1,1,2814,24,6,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,3284,33,5,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,4967,82,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8502,89,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,5252,69,3,dog
1,7,1,1,0,1,0,1,0,1,0,1,1,9770,71,2,dog
1,9,1,0,0,1,0,1,0,1,0,1,1,5707,59,2,dog
1,9,1,0,0,1,0,1,0,1,1,1,1,6673,81,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,7145,86,1,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,2731,31,6,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,9967,88,1,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,2546,41,5,cat
0,9,0,1,1,0,1,0,1,0,0,1,1,1844,22,5,cat
1,5,1,1,0,1,0,1,0,1,0,1,1,9527,62,1,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9996,87,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,10887,70,3,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,10304,78,2,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,4000,60,3,dog
0,9,0,1,0,0,1,0,1,1,0,1,1,3481,25,6,cat
0,9,0,1,0,0,1,0,1,1,0,1,1,4385,42,4,cat
1,8,1,1,0,1,0,1,0,1,0,1,1,7200,89,1,dog
1,6,1,1,0,1,0,1,0,1,0,1,1,5634,71,3,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,2919,30,4,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,9394,84,1,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2281,37,6,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3114,34,5,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,2930,32,4,cat
0,10,0,1,0,0,1,0,1,0,1,1,1,3274,38,6,cat
1,7,1,1,0,1,0,1,0,1,1,1,1,4200,48,2,cat
0,9,0,1,0,0,1,0,1,0,0,1,1,3632,32,4,cat
0,10,0,1,1,0,1,0,1,0,1,1,1,3350,33,4,cat
0,9,0,1,1,0,1,0,1,1,1,1,1,3515,28,4,cat
1,5,1,0,0,1,0,1,0,1,0,1,1,11470,69,2,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,10651,69,2,dog
0,10,0,1,0,0,1,0,1,0,1,1,1,4100,58,3,dog
0,11,0,1,1,0,1,0,1,0,0,1,1,2733,37,5,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,11302,68,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,5640,73,3,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,3289,39,4,cat
0,9,0,1,0,0,1,0,1,1,0,1,1,3799,39,5,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,6988,62,1,dog
1,9,1,0,1,1,0,1,0,1,0,1,1,4196,44,4,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,4025,41,4,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,7275,81,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,5399,71,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,10222,86,1,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,2889,45,4,cat
0,10,0,1,0,0,1,0,1,1,0,1,1,4000,60,3,dog
1,9,1,0,1,1,0,1,0,1,1,1,1,3916,49,3,cat
0,9,0,1,0,0,1,0,1,1,1,1,1,3134,31,6,cat
1,10,0,1,1,0,1,0,1,0,1,1,1,3500,35,4,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,3141,31,5,cat
1,5,1,1,0,1,0,1,0,1,1,1,1,7887,83,3,dog
0,10,0,1,0,0,1,0,1,0,1,1,1,3500,42,4,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,2831,44,5,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3600,54,2,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2853,24,6,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,7515,69,2,dog
1,6,1,1,0,1,0,1,0,1,0,1,1,4899,75,3,dog
1,5,1,1,0,1,0,1,0,1,0,1,1,9574,74,3,dog
0,11,0,1,0,0,1,0,1,0,1,1,1,3800,50,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,9720,77,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8529,63,3,dog
0,10,0,1,1,0,1,0,1,1,1,1,1,4000,60,3,dog
1,8,1,0,0,1,0,1,0,1,0,1,1,9215,87,2,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,2579,25,5,cat
1,7,1,0,0,1,0,1,0,1,0,1,1,11029,76,2,dog
0,11,0,1,1,0,1,0,1,1,1,1,1,3300,52,3,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,8473,72,2,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,8584,68,2,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2623,36,4,cat
1,6,1,1,0,1,0,1,0,1,1,1,1,5705,74,3,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2808,31,4,cat
0,9,0,1,1,0,1,0,1,1,1,1,1,2737,24,5,cat
1,6,1,0,0,1,0,1,0,1,0,1,1,4521,69,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,7490,69,2,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,3329,21,7,cat
0,10,0,1,1,0,1,0,1,1,1,1,1,3854,23,5,cat
0,9,0,1,0,0,1,0,1,0,0,1,1,2638,34,5,cat
1,6,1,0,0,1,0,1,0,1,0,1,1,6438,79,3,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8119,75,3,dog
0,11,0,1,1,0,1,0,1,0,0,1,1,2733,37,5,cat
0,10,0,1,1,0,1,0,1,0,1,1,1,2758,26,4,cat
0,11,0,1,1,0,1,0,1,0,1,1,1,2001,30,4,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,3279,30,4,cat
0,10,0,1,1,0,1,0,1,0,1,1,1,2853,24,6,cat
0,11,0,1,0,0,1,0,1,1,1,1,1,3500,42,4,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,11425,71,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8529,63,3,dog
0,9,0,1,1,0,1,0,1,1,1,1,1,2737,24,5,cat
1,6,1,1,0,1,0,1,0,1,1,1,1,8638,60,3,cat
0,10,0,1,1,0,1,0,1,1,1,1,1,3854,23,5,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3114,34,5,cat
1,6,1,0,0,1,0,1,0,1,0,1,1,9020,70,3,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,9273,73,3,dog
1,7,1,1,0,1,0,1,0,1,1,1,1,6975,72,2,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,7209,72,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,4521,69,3,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,11302,68,2,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2573,34,5,cat
1,7,1,0,0,1,0,1,0,1,0,1,1,8119,75,3,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,2731,31,6,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,3114,31,4,cat
0,11,0,1,1,0,1,0,1,1,1,1,1,4187,48,4,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,3133,39,4,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,8584,68,2,dog
1,6,1,1,0,1,0,1,0,1,1,1,1,10065,86,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,10651,69,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,10887,70,3,dog
1,6,1,1,0,1,0,1,0,1,0,1,1,5886,51,3,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,3279,30,4,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,3289,39,4,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,8078,82,1,dog
1,5,1,1,0,1,0,1,0,1,1,1,1,9735,74,2,dog
0,11,0,1,0,0,1,0,1,0,1,1,1,3800,50,2,dog
1,8,1,0,0,1,0,1,0,1,0,1,1,5770,55,4,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,5399,71,2,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,1805,42,4,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,10156,79,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7177,63,2,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2623,36,4,cat
1,5,1,0,0,1,0,1,0,1,0,1,1,5145,55,3,cat
1,9,1,0,0,1,0,1,0,1,1,1,1,6673,81,3,dog
1,9,1,0,0,1,0,1,0,1,1,1,1,9021,50,3,cat
0,9,0,1,1,0,1,0,1,0,0,1,1,2814,24,6,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,2000,25,5,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,2814,35,4,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,7177,63,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,7275,81,1,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,10531,88,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,7490,69,2,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,9967,88,1,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,2546,41,5,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,2579,25,5,cat
1,6,1,0,0,1,0,1,0,1,0,1,1,5215,53,2,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,3579,25,5,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,9215,81,2,dog
0,9,0,1,1,0,1,0,1,0,1,1,1,5599,57,3,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,9111,76,2,dog
0,10,0,1,0,0,1,0,1,1,0,1,1,3481,25,6,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,9394,84,1,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,6438,79,3,dog
1,7,1,1,0,1,0,1,0,1,0,1,1,4987,70,3,dog
0,10,0,1,0,0,1,0,1,0,0,1,1,2638,34,5,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,8502,89,1,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,8955,79,1,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2281,37,6,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,3902,32,4,cat
1,8,1,1,0,1,0,1,0,1,0,1,1,7200,89,1,dog
0,11,0,1,1,0,1,0,1,1,1,1,1,4000,60,3,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7831,60,2,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,7145,86,1,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2808,31,4,cat
1,5,1,1,0,1,0,1,0,1,0,1,1,9527,62,1,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,7272,70,3,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,3284,33,5,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3352,24,6,cat
1,5,1,0,0,1,0,1,0,1,0,1,1,9720,77,2,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,10304,78,2,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2997,44,4,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,9026,67,1,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,10452,78,1,dog
0,9,0,1,0,0,1,0,1,1,0,1,1,3799,39,5,cat
0,10,0,1,1,0,1,0,1,0,1,1,1,4157,41,4,cat
1,9,1,0,1,1,0,1,0,1,1,1,1,5953,51,4,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,2138,40,4,cat
1,5,1,1,0,1,0,1,0,1,0,1,1,9574,74,3,dog
0,10,0,1,0,0,1,0,1,0,1,1,1,4409,56,4,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,7208,61,2,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,2930,32,4,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,9996,87,2,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,3731,35,5,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,1888,34,5,cat
0,10,0,1,0,0,1,0,1,0,1,1,1,3274,38,6,cat
0,9,0,1,1,0,1,0,1,1,1,1,1,3515,28,4,cat
0,11,0,1,0,0,1,0,1,1,1,1,1,2962,59,3,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,9065,68,2,dog
0,11,0,1,1,0,1,0,1,0,0,1,1,3134,22,5,cat
0,9,0,1,0,0,1,0,1,1,0,1,1,4385,42,4,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,7471,85,3,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,3141,31,5,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,2237,34,4,cat
1,8,1,1,0,1,0,1,0,1,0,1,1,5941,53,4,cat
1,5,1,1,0,1,0,1,0,1,1,1,1,8896,82,3,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,4967,82,3,dog
0,9,0,1,1,0,1,0,1,0,0,1,1,1844,22,5,cat
1,6,1,0,0,1,0,1,0,1,0,1,1,8632,82,3,dog
0,11,0,1,0,0,1,0,1,1,0,1,1,3248,31,4,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,11894,84,3,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,2889,45,4,cat
1,7,1,1,0,1,0,1,0,1,1,1,1,7329,66,2,dog
0,9,0,1,0,0,1,0,1,1,0,1,1,3632,32,4,cat
0,11,0,1,0,0,1,0,1,0,0,1,1,3044,43,3,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,5252,69,3,dog
0,10,0,1,0,0,1,0,1,1,1,1,1,4219,53,3,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,11029,76,2,dog
0,11,0,1,1,0,1,0,1,0,0,1,1,2419,25,5,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,3133,39,4,cat
0,9,0,1,1,0,1,0,1,0,0,1,1,4383,29,5,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,8029,67,2,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,2831,44,5,cat
1,5,1,1,0,1,0,1,0,1,1,1,1,7887,83,3,dog
1,7,1,1,0,1,0,1,0,1,0,1,1,9770,71,2,dog
1,6,1,1,0,1,0,1,0,1,1,1,1,4771,83,3,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,1924,37,6,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,6916,77,3,dog
0,10,0,1,1,0,1,0,1,1,1,1,1,3300,52,3,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,2178,29,5,cat
1,7,1,0,0,1,0,1,0,1,0,1,1,9179,54,3,cat
1,8,1,0,1,1,0,1,0,1,1,1,1,5076,57,3,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,7515,69,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,9020,70,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,7875,70,1,dog
1,6,1,0,1,1,0,1,0,1,0,1,1,4774,40,4,cat
0,10,0,1,1,0,1,0,1,1,0,1,1,4314,46,2,dog
1,5,1,1,0,1,0,1,0,1,1,1,1,11516,84,3,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,8473,72,2,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,2237,34,4,cat
0,9,0,1,0,0,1,0,1,1,0,1,1,3230,48,3,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,1839,37,6,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,2890,26,4,cat
1,9,1,0,0,1,0,1,0,1,0,1,1,5707,59,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,5215,53,2,cat
0,11,0,1,0,0,1,0,1,1,0,1,1,3749,49,3,dog
1,6,1,1,0,1,0,1,0,1,0,1,1,5634,71,3,dog
1,8,1,0,0,1,0,1,0,1,0,1,1,9215,87,2,dog
1,6,1,1,0,1,0,1,0,1,1,1,1,5705,74,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8836,65,1,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,3484,21,5,cat
0,9,0,1,0,0,1,0,1,0,0,1,1,2856,58,3,dog
0,9,0,1,1,0,1,0,1,0,1,1,1,3044,43,3,dog
0,11,0,1,1,0,1,0,1,0,1,1,1,3133,39,4,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,7831,60,2,cat
0,11,0,1,1,0,1,0,1,0,0,1,1,3363,55,3,dog
0,11,0,1,1,0,1,0,1,1,1,1,1,3801,52,3,dog
0,11,0,1,0,0,1,0,1,1,0,1,1,3749,49,3,dog
0,9,0,1,1,0,1,0,1,0,0,1,1,3363,55,3,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2758,26,4,cat
1,5,1,0,0,1,0,1,0,1,0,1,1,11470,69,2,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,9143,53,4,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,9143,53,4,cat
1,6,1,1,0,1,0,1,0,1,1,1,1,8638,60,3,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,2459,45,3,dog
0,10,0,1,0,0,1,0,1,1,1,1,1,3500,42,4,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,5145,55,3,cat
0,9,0,1,0,0,1,0,1,0,0,1,1,2856,58,3,dog
1,9,1,0,0,1,0,1,0,1,1,1,1,9021,50,3,cat
0,11,0,1,1,0,1,0,1,0,1,1,1,2001,30,4,cat
1,9,1,0,1,1,0,1,0,1,1,1,1,4187,48,4,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3183,47,3,dog
1,6,1,1,0,1,0,1,0,1,1,1,1,5886,51,3,cat
1,8,1,1,0,1,0,1,0,1,0,1,1,5941,53,4,cat
0,9,0,1,1,0,1,0,1,0,1,1,1,5599,57,3,dog
1,8,1,0,0,1,0,1,0,1,0,1,1,5770,55,4,cat
1,8,1,0,1,1,0,1,0,1,1,1,1,5076,57,3,cat
0,10,0,1,1,0,1,0,1,1,1,1,1,4314,46,2,dog
1,7,1,0,1,1,0,1,0,1,0,1,1,3480,41,3,cat
1,7,1,0,1,1,0,1,0,1,0,1,1,3480,41,3,cat
0,10,0,1,0,0,1,0,1,1,1,1,1,4219,53,3,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,3183,47,3,dog
0,9,0,1,0,0,1,0,1,1,0,1,1,3230,48,3,dog
0,11,0,1,1,0,1,0,1,1,1,1,1,3801,52,3,dog
1,6,1,0,1,1,0,1,0,1,0,1,1,4774,40,4,cat
1,9,1,0,1,1,0,1,0,1,1,1,1,5953,51,4,cat
1,7,1,0,1,1,0,1,0,1,0,1,1,5880,55,4,cat
1,7,1,0,0,1,0,1,0,1,0,1,1,9179,54,3,cat
0,10,0,1,0,0,1,0,1,0,1,1,1,4409,56,4,dog
1,9,1,0,1,1,0,1,0,1,1,1,1,3916,49,3,cat
1,9,1,0,1,1,0,1,0,1,0,1,1,4196,44,4,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,2459,45,3,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,4025,41,4,cat
0,9,0,1,0,0,1,0,1,1,1,1,1,3134,31,6,cat
0,10,0,1,0,0,1,0,1,1,1,1,1,2962,59,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8500,75,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,7200,70,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,9300,80,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,6500,68,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,10100,82,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,7800,74,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,9700,81,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6900,69,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,8800,78,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7500,72,2,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,9900,83,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6200,65,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9000,79,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8100,76,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10500,85,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,7000,71,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9400,80,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,7600,73,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,11000,88,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6700,67,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,9100,79,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7900,75,2,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,10200,84,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6400,66,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9600,81,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8300,77,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10800,87,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,7100,72,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9200,80,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8000,75,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10300,84,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6600,68,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,8900,78,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7700,73,2,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,10600,86,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6800,70,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9500,82,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8200,76,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10900,88,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,7300,71,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9800,83,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8400,77,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,11200,90,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,7400,72,2,dog
